id;nameclient;namerestaurant;namelivreur
1;Handcrafted Bedfordshire Malta;Maine;deposit Movies
2;software FTP capacitor;matrix Reunion;Licensed Decentralized mesh
3;vertical;leverage;holistic enable Arizona
4;Metal;Chips;Cotton Lock bypassing
5;microchip;Kids;Rubber Chicken Generic
6;withdrawal;innovative;withdrawal
7;Avon;invoice Triple-buffered Chief;pixel Facilitator
8;Unbranded;Card Practical Fiji;synthesizing Tokelau
9;card payment;Frozen migration;Sleek intranet interface
10;Table;SMTP;copying
